Tender_Proposal_ID,Source_File,App_ID,Invitation_Reference,Event_Type,Invitation_For,Ministry_Division,Organization_Agency,Procuring_Entity_Name,Procuring_Entity_Code,Procurement_Entity_District,PE_Address,PE_City,PE_Thana,PE_District,PE_Country,PE_Phone,PE_Fax,Authorised_Officer,Authorised_Officer_Designation,Procurement_Method,Procurement_Nature,Procurement_Type,Tender_Status,Evaluation_Type,Eligibility_of_Tenderer,Category,Budget_Type,Source_of_Fund,Development_Partner,Project_Code,Project_Name,Package_No,Tender_Title,Brief_Description_of_Works,Brief_Description_of_Contract,Lot_No,Lot_Identification,Lot_Location,Lot_Security_BDT,Contract_Value_BDT,Estimated_Cost,Document_Price_BDT,Document_Fees,Document_Available,Mode_of_Payment,Advertised_Date,Document_Last_Selling_Date,Pre_Tender_Meeting_Start,Pre_Tender_Meeting_End,Closing_Date,Tender_Opening_Date,Last_Security_Submission_Date,Security_Valid_Up_To,Tender_Valid_Up_To,Notification_of_Award_Date,Contract_Signing_Date,Proposed_Start_Date,Proposed_Completion_Date,Tentative_Start_Date,Tentative_Completion_Date,Contract_No,Performance_Security_Provided_On_Time,Contract_Signed_On_Time,Tenderer_ID,Supplier_Name,Beneficial_Owner,Ownership_Percentage,Owner_Country,Business_Address,Delivery_Location,Specific_Experience_Required,Max_Quantity_Variation,Liquidated_Damages_Rate,Tenders_Sold,Tenders_Received,Responsive_Tenders,Risk_Score,Risk_Level,Red_Flag,Red_Flag_Reason,Competition_Risk,Financial_Risk,Timeline_Risk,Ownership_Risk,Source_Files_Merged,Red_Flag_Count,Evidence,Rule_Reference,Full_Rule_Text,Rule_ID,Category,Finding,Severity,Review_Status,Investigative_Recommendation,Extracted_General_Experience,Extracted_Specific_Experience,Extracted_Turnover,Extracted_Liquid_Assets
1306342,CDA_Tender_1306342.pdf,216869,25.47.1500.111.49.001.26 Tender/Proposal Status : Being processed,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Management Information System (MIS),Management Information System (MIS),Procuring Entity District : Chattogram,Chattogram,"CDA Building, Court Road, Contact details of Official Inviting Tender/Proposal : Phone No : 031-625562",Chittagong,Chattogram City,Chattogram,Bangladesh,031-625562,031-614610,,System Analyst,Open Tendering Method (OTM) Budget Type : Own Fund,Goods Procurement Type : NCT,NCT,Being processed,Lot wise,"1. Suppliers should have 5 years of experience in BD market.(Copy of Trade license of the company.) 2.The Supplier must submit NOA and Completion Certificate of honoring a 2 tender each of minimun Taka 11 Lac on of Supplying IT and related equipment in the last two (02) years. 3. The Supplier should submit Bank solvency Certificate. 4. The minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be Tk 15 Lacs (Fifteen lacs). 5. The Supplier must submit Up-to-date Trade License, Valid TIN Certificate, VAT Registration/ BIN certificate, with return certificate of the financial year 2024-25. 6. Tenderer shall furnish the average annual turnover at least 12 lacs (sum of 36 Lac for three years) over the best three (03) years in last 5(five) years. 7. Valid documents having office / Sub office in Chittagong for instant support and service. Brief Description of Goods and Related Webmail System for CDA's Official. Service :",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,,,,,,,,,10,Package wise,Package wise,Payment through Bank,,,,,,,,10-Nov-2026,13-Oct-2026,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1306342.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,5,,12 lacs,15 Lacs
1305867,CDA_Tender_1305867.pdf,226756,Purchase/25.47.9500.017.07.004.23/ Tender/Proposal Status : Being processed,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Office of the Secretary,Office of the Secretary,Procuring Entity District : Chattogram,Chattogram,"CDA Building (2nd Floor), Contact details of Official Inviting Tender/Proposal : Phone No : 031-620988",Chittagong,Sitakunda,Chattogram,Bangladesh,031-620988,City : Chittagong,,Secretary,Open Tendering Method (OTM) Budget Type : Own Fund,Goods Procurement Type : NCT,NCT,Being processed,Lot wise,"1.The tenderer must have at least 5 years experience (in place of existing). 2. The tenderer must have the track record of honoring a single similar tender (Govt./Non-Govt.Organizations ) of min Taka 8 Lac in last two (02) years. 3. The tenderer/bidder submit Valid VAT Registration Certificate, Valid Trade License. the Bank solvency certificate, Return certificate of the financial year 2024-25. 4. Tenderer must have a working center/office/branch office in Chattogram City. 5. In order to prove the Tenderer Financial capability necessary to perform the contract, the Tenderer shall furnish the average annual turnover at least 15(fifteen) Lac over the last Three (03) years. 6. The minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be Tk. 10 Lac. 7. All supply should be as per define catalog and Supplier must have to submit product sample and take approval before delivery. Brief Description of Goods and Related Supply of liveries for CDA staff. Service :",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,,,,,,,,,10,Package wise,Package wise,Payment through Bank,,,,,,,,10-Nov-2026,13-Oct-2026,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1305867.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,5,8 Lac,15(fifteen) Lac,10 Lac
1287229,CDA_Tender_1287229.pdf,226302,25.47.1500.071.76.074.26/102 Tender/Proposal Status : Re-Tendered,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director (Master Plan),Project Director (Master Plan),Procuring Entity District : Chattogram,Chattogram,"CDA Building, Court Road, Contact details of Official Inviting Tender/Proposal : Phone No : 031-632247",Chittagong,Kotowali,Chattogram,Bangladesh,031-632247,City : Chittagong,,Deputy Chief Town Planner,Open Tendering Method (OTM) Budget Type : Development,Goods Procurement Type : NCT,NCT,Re-Tendered,Lot wise,"As specified in the Tender Data Sheet (TDS), the Tenderer shall also meet the following requirements:- The Tenderer shall have a minimum of eight (08) years of general experience in supplying software and ITES-related goods and services, counted backward from the date of publication of the IFT in the e-GP System. The Tenderer shall have completed within the last three (03) years: (a) at least one (01) software supply contract with a value not less than BDT 70,00,000 (Seventy Lakh); and (b) at least one (01) ITES-related contract valued at not less than BDT 25,00,000 (Twenty-Five Lakh), including conference room/laboratory design, furniture, interior works, networking equipment, switches, computers, printers, and related items. The Tenderer shall have completed, as a Prime Contractor, at least one (01) similar ITES contract within the last three (03) years with a value of not less than BDT 1,50,00,000 (One Crore Fifty Lakh) under any Government, Semi-Government, or Autonomous Organization of Bangladesh. The Tenderer shall submit a valid and updated Trade License, Certificate of Incorporation/Registration, TIN Certificate, VAT Registration Certificate (BIN), and Income Tax Clearance Certificate with an acknowledgment slip. The Tenderer shall submit audited financial statements for the last two (02) completed fiscal years and possess valid ABC and Supervisory Licenses, where applicable. The Tenderer shall submit at least one (01) NOA issued through the e-GP System demonstrating engagement in similar business activities for a minimum of five (05) years and at least two (02) NOAs for ongoing contracts. Joint Venture (JV) participation shall not be permitted. Valid Manufacturer’s Authorization Certificates (MAF) from the respective OEMs for Desktop Computers and Drones must be submitted. Brief Description of Goods and Related “Procurement of Software and Hardware for Database Storage and Management for Preparation of Chattogram Metropolitan Service : Master Plan Project”, Masterplan Unit(4th floor), Chattogram Development Authority(CDA), Kotwali, Chattogram.",,Development,Government,,1320101224311100 Project Name : Preparation of Chattogram Metropolitan,Preparation of Chattogram Metropolitan,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,,,,,,,,,18,Package wise,Package wise,Payment through Bank,,,,,,,,18-Oct-2026,20-Sep-2026,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1287229.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,03,"1,50,00,000 (One Crore Fifty Lakh)",,
1280331,CDA_Tender_1280331.pdf,225970,XEN-IP/Oxyzen-QuaishRoad/151 Tender/Proposal Status : Being processed,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(CRBKRKBC),Project Director(CRBKRKBC),Procuring Entity District : Chattogram,Chattogram,"CDA Building, Kotowali Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401",Chattogram,Chattogram City,Chattogram,Bangladesh,031-624401,031-614610,,Executive Engineer,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Being processed,Lot wise,"(1) The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management Contractor shall be 05 years (2) The minimum specific experience as a Prime Contractor or Subcontractor or Management Contractor in construction works under public sector of at least 01 One) contract(s) of Maintenance of Road Works successfully completed within the last 05 years, each with a value of at least Tk. 25 (twenty Five) Lacs (3) The required average annual construction turnover under public sector shall be greater than Tk 25 Lacs over the last 05 financial years. (4) The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be Tk 30 Lacs (5) The minimum capacity shall be 38 lacs. (6) Tenderers Must have up-to-date valid Licenses; and (7) Other required eligibility and conditions of the tenderer are given in Tender Documents.",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,"Repair, Maintenance and Other Related works at the damaged section of Oxyzen-Quaish Connecting Road.",,,,,,,,14,Package wise,Package wise,Payment through Bank,,,,,,,,14-Oct-2026,16-Sep-2026,,,,,,,,,,,,,,,,,25,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1280331.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,,,,,,,05,25 (twenty Five) Lacs,25 Lacs,30 Lacs
1251823,CDA_Tender_1251823.pdf,224120,ExEn/BB/E-136/279,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,"Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin), Chittagong","Project Director(M.Uddin), Chittagong",Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401,Chittagong Fax No : 031-614610,Chattogram City,Chattogram,Bangladesh,031-624401,031-614610,,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,,Lot wise,"1.. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years.1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2.The minimum specific experience in Similar works of at least 1(One) contract(s) of Public (Government, Semi Government & Autonomous) Building Construction successfully completed within the last 3 (Three) years in each with a value of at least Tk.15 (Fifteen) Lacs. 3. The required average annual construction turnover shall be greater than Tk 50 (Fifty) Lacs over the last 03 (Three) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk. 10 (Ten) Lac. 5. Tender Document containing insufficient / incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,"Maintenance work of Main gate, CTG map, CDA Logo at roof Top, Outer side painting and Other related works at Biponi Bitan A-block, Chattogram.",,,,,,,,30,Package wise,Package wise,Payment through Bank,,,,,,,,30-Oct-2026,02-Oct-2026,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1251823.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,5,15 (Fifteen) Lacs,50 (Fifty) Lacs,10 (Ten) Lac
1267626,Tender_1267626.pdf,216869,25.47.1500.111.30.01.24 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Management Information System (MIS),Management Information System (MIS),Procuring Entity District : Chattogram,Chattogram,"CDA Building, Court Road, Contact details of Official Inviting Tender/Proposal : Phone No : 031-625562",Chittagong,Chattogram City,Chattogram,Bangladesh,031-625562,031-614610,Md Mostafa Jamal,System Analyst,Open Tendering Method (OTM) Budget Type : Own Fund,Goods (Framework Agreement) Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"1. The minimum number of years of general experience of the Tenderer in IT shall be 05 (Five) years. 2. The Supplier must submit NOA and Completion Certificate of honoring 2 tender each of minimum Taka 5 (Five) Lac on of Supplying IT and related equipment in the last two (02) years in the government/semi government organization with e-GP Tender ID. 3. The required average annual turnover shall be greater than Tk 20 Lacs (Twenty lacs) over the last 03 (Three) years. 4. The Minimum amount of liquid assets i.e. working capital or credit line (s) of the Tenderer shall be Tk. 6 Lacs (Six lacs). 5. The Supplier must submit Up-to-date Trade License, Valid TIN Certificate, VAT Registration/ BIN certificate, with return certificate of the financial year 2024-25. 6. Valid documents having office / Sub office in Chittagong for instant support and service. 7. Tender Document containing insufficient / incomplete information will be rejected. 8. Furnishing of any false, fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of Tender Security and action against tender under regular of PPR 2025 Brief Description of Goods and Related Procurement of toner for printers of different department of CDA Service :",,Own Fund,Own Fund,NA,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Procurement of toner for printers of different department of CDA,,,,,,,579500,,13,Package wise,Package wise,Payment through Bank,2026-05-06 13:00,,,,,,,13-Sep-2026,16-Aug-2026,2026-06-25 00:00,2026-07-07 00:00,2026-07-07 00:00,2027-07-07 00:00,,,,,,1187489,Fatema Construction BD,,,,"Pahartali Railway School Moor, Pahartali, Khulshi, Chattogram-4202",CDA Building,,,,,,,20,LOW,NO,Beneficial Owner Missing,,,,Medium,CDA_Tender_1267626.pdf | Tender_1267626.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,,,,,,,05,,20 Lacs,6 Lacs
1266322,CDA_Tender_1266322.pdf,225256,,REOI,,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(Elevated ExpressWay),Project Director(Elevated ExpressWay),Procuring Entity District : Chattogram,Chattogram,"CDA Building, 3rd Floor Contact details of Official Inviting REOI : Phone No : 031-632113",Chattogram Fax No : 031-614610,Chattogram City Corporation,Chattogram,Bangladesh,031-632113,031-614610,,,Quality Cost Based Selection (QCBS) Budget Type : Own Fund,Services Procurement Type : NCT,NCT,Being processed,Package wise,,,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1266322.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,,,,
1153793,CDA_Tender_1153793.pdf,216874,CD 2/ E-954 Tender/Proposal Status : Being processed,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Construction Division-2,Construction Division-2,2003 Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-619956,Chittagong Fax No : 031-614610,Chattogram City,Chattogram,Bangladesh,031-619956,031-614610,,Executive Engineer,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Being processed,Lot wise,"1. The minimum number of years of general experience of the Tenderer in the construction works shall be 10 (Ten) years. 2. The minimum specific experience in similar works of at least 5 (Five) years contract(s) of public (Government, Semi Government & Autonomous) road, drain, culvert etc. construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 1.00 Crores (One Crores ). 3. The required average annual construction turnover shall be greater than Tk 2.50 Crores (Two Crores Fifty Lacs) over the last 03 (Three) years. 4. The Minimum amount of liquid assets i.e. working capital or credit line (s) of the Tenderer shall be Tk. 90.00 Lacs (Ninety Lacs). 5. Tender Document containing insufficient / incomplete information will be rejected. 6. Certificate of authentication in respect of the work should have to be furnished by the tenderer along with tender documents in the following manner as applicable :i) In case of the work done under any PWD, the Certifying and authenticating authority shall be the concerned Executive Engineer under whom the work has been Executed.ii) In case of the work done under any Govt./Semi- Govt./Autonomous bodies other than PWD the certifying authority shall be an officer of that organization not below the rank of Executive Engineer 7. Furnishing of any false, fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of Tender Security and action against tender under regular of PPA 2025. 8. Others details will be followed as per TDS.",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,"Maintenance and other related works of road no-01 (50'-0"" wide) of CDA Kolpalok R/A, 1st Phase (Lot-1).",,,,,,,,24,Package wise,Package wise,Payment through Bank,,,,,,,,24-Aug-2026,27-Jul-2026,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1153793.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,10,1.00 Crores,2.50 Crores,90.00 Lacs
1153808,CDA_Tender_1153808.pdf,216874,CD 2/ E-955 Tender/Proposal Status : Being processed,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Construction Division-2,Construction Division-2,2003 Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-619956,Chittagong Fax No : 031-614610,Chattogram City,Chattogram,Bangladesh,031-619956,031-614610,,Executive Engineer,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Being processed,Lot wise,"1. The minimum number of years of general experience of the Tenderer in the construction works shall be 10 (Ten) years. 2. The minimum specific experience in similar works of at least 5 (Five) years contract(s) of public (Government, Semi Government & Autonomous) road, drain, culvert etc. construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 90 Lac (Ninety Lac). 3. The required average annual construction turnover shall be greater than Tk 2.25 Crore (Two Crore Twenty-five Lac) over the last 03 (Three) years. 4. The Minimum amount of liquid assets i.e. working capital or credit line (s) of the Tenderer shall be Tk. Tk. 80.00 Lac (Eighty Lac). 5. Tender Document containing insufficient / incomplete information will be rejected. 6. Certificate of authentication in respect of the work should have to be furnished by the tenderer along with tender documents in the following manner as applicable :i) In case of the work done under any PWD, the Certifying and authenticating authority shall be the concerned Executive Engineer under whom the work has been Executed.ii) In case of the work done under any Govt./Semi- Govt./Autonomous bodies other than PWD the certifying authority shall be an officer of that organization not below the rank of Executive Engineer 7. Furnishing of any false, fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of Tender Security and action against tender under regular of PPA 2025.. 8. Others details will be followed as per TDS.",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,"Maintenance and other related works of road no-01 (50'-0"" wide) of CDA Kolpalok R/A, 2nd Phase (Lot-2).",,,,,,,,24,Package wise,Package wise,Payment through Bank,,,,,,,,24-Aug-2026,27-Jul-2026,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1153808.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,10,90 Lac,2.25 Crore,80.00 Lac
1153840,CDA_Tender_1153840.pdf,216874,CD 2/ E-956 Tender/Proposal Status : Being processed,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Construction Division-2,Construction Division-2,2003 Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-619956,Chittagong Fax No : 031-614610,Chattogram City,Chattogram,Bangladesh,031-619956,031-614610,,Executive Engineer,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Being processed,Lot wise,"1. The minimum number of years of general experience of the Tenderer in the construction works shall be 10 (Ten) years. 2. The minimum specific experience in similar works of at least 5 (Five) years contract(s) of public (Government, Semi Government & Autonomous) road, drain, culvert etc. construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 51 Lac (Fifty One Lac). 3. The required average annual construction turnover shall be greater than Tk 1.23 Crore (One Crore Twenty Three Lac) over the last 03 (Three) years. 4. The Minimum amount of liquid assets i.e. working capital or credit line (s) of the Tenderer shall be Tk. Tk. 45 Lac (Forty Five Lac). 5. Tender Document containing insufficient / incomplete information will be rejected. 6. Certificate of authentication in respect of the work should have to be furnished by the tenderer along with tender documents in the following manner as applicable :i) In case of the work done under any PWD, the Certifying and authenticating authority shall be the concerned Executive Engineer under whom the work has been Executed.ii) In case of the work done under any Govt./Semi- Govt./Autonomous bodies other than PWD the certifying authority shall be an officer of that organization not below the rank of Executive Engineer 7. Furnishing of any false, fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of Tender Security and action against tender under regular of PPA 2025. 8. Others details will be followed as per TDS.",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,Development and other related works of existing playground of CDA Kolpolok R/A.(Lot-3),,,,,,,,24,Package wise,Package wise,Payment through Bank,,,,,,,,24-Aug-2026,27-Jul-2026,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_1153840.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,10,51 Lac,1.23 Crore,45 Lac
